language,visibility,category_title,category_description,category_slug,subcategory_title,subcategory_description,subcategory_slug,article_title,article_excerpt,article_slug,article_body
en,public,Orders & Shipping,Track your order and shipping times and delivery questions,orders-shipping,,,,How do I track my order?,Get your tracking number and check your delivery status,track-my-order,"<p>Once your order ships, you'll receive an email with your tracking number and a link to track your package. Most orders placed before 2 PM Arizona time ship the same day.</p><h2>How it works</h2><ol><li><strong>Check your email</strong> — Look for a shipping confirmation from Suspension Superstore with your tracking number</li><li><strong>Click the tracking link</strong> — This takes you directly to the carrier's tracking page (UPS, FedEx, etc.)</li><li><strong>No email yet?</strong> — Orders typically ship within 1-2 business days. If it's been longer, contact us with your order number</li></ol><h2>Common issues</h2><ul><li><strong>Tracking not updating</strong> — Carriers can take 24-48 hours to scan packages after pickup. If tracking hasn't updated in 3+ days, contact us.</li><li><strong>Delivered but not received</strong> — Check around your property, with neighbors, or building management. If still missing, contact us immediately.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Email address used for the order</li></ul>"
en,public,Orders & Shipping,Track your order and shipping times and delivery questions,orders-shipping,,,,How long does shipping take?,Shipping times and free shipping policy and delivery estimates,shipping-times,"<p>Most orders ship <strong>same day</strong> if placed before 2 PM Arizona time (Monday–Friday). Transit time is typically 2-5 business days depending on your location.</p><h2>How it works</h2><p><strong>Free shipping</strong> is available on most orders to the contiguous United States (lower 48 states).</p><p><strong>Estimated transit times from our warehouses:</strong></p><ul><li>Arizona, Texas, California — 2-4 business days to most US locations</li><li>Pennsylvania — 2-3 business days to East Coast</li></ul><p><strong>Factors that affect shipping time:</strong></p><ul><li>Orders placed after 2 PM AZ time or on weekends ship the next business day</li><li>Drop-ship items ship directly from the manufacturer (may take 3-7 business days)</li><li>Backorder or special order items will have a separate ETA provided</li></ul><h2>Common issues</h2><ul><li><strong>Hawaii, Alaska, Puerto Rico</strong> — Free shipping does not apply. Additional shipping charges will be quoted.</li><li><strong>Weekend orders</strong> — Orders placed Saturday/Sunday ship Monday.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number or items you plan to order</li><li>Shipping ZIP code</li></ul>"
en,public,Orders & Shipping,Track your order and shipping times and delivery questions,orders-shipping,,,,Do you ship internationally?,International shipping availability and costs,international-shipping,"<p>Yes, we ship internationally. Shipping costs are calculated at checkout based on your destination and order weight.</p><h2>How it works</h2><ol><li><strong>Add items to cart</strong> and proceed to checkout</li><li><strong>Enter your shipping address</strong> — International shipping options and costs will display</li><li><strong>Complete your order</strong> — You are responsible for any customs duties, taxes, or import fees charged by your country</li></ol><h2>Common issues</h2><ul><li><strong>Customs/duties</strong> — These fees are collected by your country, not by us. We cannot predict or prepay these charges.</li><li><strong>Delivery times</strong> — International orders typically take 7-21 business days depending on destination and customs processing.</li><li><strong>Restricted items</strong> — Some products cannot be shipped internationally due to manufacturer restrictions.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Items you want to order</li><li>Full shipping address including country</li></ul>"
en,public,Orders & Shipping,Track your order and shipping times and delivery questions,orders-shipping,,,,My order hasn't shipped yet,What to do if your order is delayed or on backorder,order-delayed,"<p>Most in-stock orders ship within 1-2 business days. If your order is delayed, it may be a drop-ship item, on backorder, or awaiting verification. Check your email for updates or contact us with your order number.</p><h2>Common reasons for delays</h2><ol><li><strong>Drop-ship items</strong> — These ship directly from the manufacturer. Typical lead time is 3-7 business days, sometimes longer for specialty items.</li><li><strong>Backorder</strong> — The item is temporarily out of stock. We'll email you with an estimated ship date.</li><li><strong>Order verification</strong> — Your order may be on hold pending payment verification (see "Why is my order on hold?")</li><li><strong>Special order</strong> — Some items are built or configured to order and have longer lead times.</li></ol><h2>Common issues</h2><ul><li><strong>No update email</strong> — If you haven't received any communication within 3 business days, contact us.</li><li><strong>Need it faster</strong> — Contact us to check if an alternative in-stock item is available.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Email address on the order</li></ul>"
en,public,Orders & Shipping,Track your order and shipping times and delivery questions,orders-shipping,,,,Why is my order on hold?,Order verification for flagged transactions,order-on-hold,"<p>Some orders are flagged for verification when the billing and shipping information doesn't match, or the transaction is flagged as potentially fraudulent. This is for your protection.</p><h2>How it works</h2><ol><li><strong>You'll receive an email</strong> asking you to complete a verification form</li><li><strong>Fill out the form</strong> at <a href='https://suspensionsuperstore.com/order-verification/'>suspensionsuperstore.com/order-verification/</a></li><li><strong>Once verified</strong>, your order will be released and shipped</li></ol><p><strong>Common triggers for verification:</strong></p><ul><li>Billing address doesn't match the card on file</li><li>Shipping to a different address than billing</li><li>New credit card</li><li>Using someone else's card (with permission)</li></ul><h2>Common issues</h2><ul><li><strong>Didn't receive the email</strong> — Check your spam folder, or contact us to resend</li><li><strong>Need it urgently</strong> — Call us at 866-409-8673 to verify over the phone</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Phone number to reach you</li></ul>"
en,public,Returns & Refunds,Return or exchange parts and cancel orders and refund policies,returns-refunds,,,,How do I return a part?,Start a return and get your RMA number,how-to-return,"<p>Submit a return request within 30 days of receiving your order. You'll receive an RMA (Return Merchandise Authorization) number to include on your package.</p><h2>How it works</h2><ol><li><strong>Submit a return request</strong> at <a href='https://suspensionsuperstore.com/return-authorization-request/'>suspensionsuperstore.com/return-authorization-request/</a></li><li><strong>Receive your RMA number</strong> via email (usually within 24 hours)</li><li><strong>Write the RMA number on the outside of the box</strong> — Returns without an RMA may be refused</li><li><strong>Ship the item back</strong> to the address provided in your RMA email</li><li><strong>Refund or exchange processed</strong> within 24-48 hours of receiving your return</li></ol><h2>Common issues</h2><ul><li><strong>Item must be NEW and uninstalled</strong> — Parts that have been installed or show signs of use cannot be returned for refund.</li><li><strong>Original packaging required</strong> — Keep all packaging until you're sure you won't need to return.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Reason for return</li><li>Photos if item is defective</li></ul>"
en,public,Returns & Refunds,Return or exchange parts and cancel orders and refund policies,returns-refunds,,,,What is your return policy?,Return window and conditions and fees explained,return-policy,"<p>Returns must be initiated within <strong>30 days</strong> of receipt. Items must be in NEW, uninstalled condition. A <strong>20% restocking fee</strong> applies to refunds, plus you pay return shipping.</p><h2>How it works</h2><p><strong>For refunds:</strong></p><ul><li>20% restocking fee applies</li><li>You pay shipping both ways (original and return)</li><li>Refund = price paid minus shipping and restocking fee</li></ul><p><strong>For exchanges or store credit:</strong></p><ul><li>No restocking fee</li><li>You pay return shipping only</li><li>Full credit for the item price</li></ul><p><strong>No fees if we made a mistake:</strong></p><ul><li>Wrong item shipped</li><li>Item arrived damaged</li><li>Defective product</li></ul><h2>Common issues</h2><ul><li><strong>Installed parts</strong> — Cannot be returned. Even partially installed parts are not eligible.</li><li><strong>Special orders</strong> — May have different return policies communicated at time of purchase.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>What you'd like to do (refund, exchange, or store credit)</li></ul>"
en,public,Returns & Refunds,Return or exchange parts and cancel orders and refund policies,returns-refunds,,,,Can I exchange for a different part?,Exchange process and what to expect,exchange-part,"<p>Yes, you can exchange for a different part. Submit a return request and select Exchange as your preference. No restocking fee applies to exchanges.</p><h2>How it works</h2><ol><li><strong>Submit a return request</strong> at <a href='https://suspensionsuperstore.com/return-authorization-request/'>suspensionsuperstore.com/return-authorization-request/</a></li><li><strong>Tell us what you need instead</strong> — Include the correct part number or describe what you're looking for</li><li><strong>Ship the original item back</strong> — You pay return shipping</li><li><strong>We ship your replacement</strong> — Once your return is in transit back to us, we'll ship the new item</li></ol><p><strong>Price difference:</strong></p><ul><li>If the new part costs more, we'll send a payment link</li><li>If it costs less, we'll refund the difference</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Part number you want instead (or Year/Make/Model/Trim if unsure)</li></ul>"
en,public,Returns & Refunds,Return or exchange parts and cancel orders and refund policies,returns-refunds,,,,How do I cancel my order?,Cancel before shipment and refund timing,cancel-order,"<p>Contact us as soon as possible to cancel. If your order hasn't shipped yet, we can cancel and issue a full refund. Once shipped, you'll need to return it.</p><h2>How it works</h2><ol><li><strong>Contact us immediately</strong> — Call 866-409-8673 or email for fastest response</li><li><strong>If not yet shipped</strong> — We'll cancel and refund in full</li><li><strong>If already shipped</strong> — You'll need to either refuse delivery or submit a return request once received</li></ol><p><strong>Refund timing:</strong> Allow 24-48 hours for your bank to process the refund after cancellation.</p><h2>Common issues</h2><ul><li><strong>Order already shipped</strong> — We cannot cancel orders in transit. You can refuse delivery or return once received.</li><li><strong>Drop-ship orders</strong> — These may be harder to cancel once submitted to the manufacturer. Contact us immediately.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Reason for cancellation (helps us improve)</li></ul>"
en,public,Returns & Refunds,Return or exchange parts and cancel orders and refund policies,returns-refunds,,,,How long do refunds take?,Refund processing time after return received,refund-timing,"<p>Refunds are processed within <strong>24-48 hours</strong> of receiving your return. Your bank may take an additional 3-5 business days to post the credit to your account.</p><h2>How it works</h2><ol><li><strong>Return received</strong> — We inspect the item to confirm it's in returnable condition</li><li><strong>Refund processed</strong> — Within 24-48 hours of receipt</li><li><strong>Credit appears</strong> — Your bank processes the refund (typically 3-5 business days)</li></ol><p><strong>Refund amount:</strong></p><ul><li>Item price minus 20% restocking fee (if applicable)</li><li>Original shipping is not refunded</li></ul><h2>Common issues</h2><ul><li><strong>Refund not showing</strong> — Check with your bank. Provide them the date we processed the refund.</li><li><strong>Amount seems wrong</strong> — Remember the 20% restocking fee and original shipping are deducted from refunds.</li></ul><h2>Still need help?</h2><p>Contact us with:</p><ul><li>Order number</li><li>Return tracking number</li></ul>"
