shop_name,type_of_knowledge,title,language,total_executions,closed_or_wait_rate,handover_rate,handed_over_executions,guidance_type,content,has_handover_instructions,characters_volume,last_edit_date,primary_intent,primary_intent_share,secondary_intent,secondary_intent_share,knowledge_id,knowledge_id_versioned
madame-indecise,guidance,When a shopper reaches out about order issues or shipping issues,en-US,571,0.532399299474606,0.46760070052539404,267,scratch,"WHEN: The shopper reaches out about an order issue or a shipping issue:Always acknowledge the issue and show compassion and understandingScenario 1 — When a shopper has a damaged order or product IF: The shopper reports that the package or jewelry is damagedTHEN:  Check if the shopper provided a picture of the damaged order.  IF: A picture is provided: Review the image carefully.  If the jewelry looks clearly damaged or unwearable (e.g., missing stone, visibly bent, broken): Hand over the ticket.  If you are not sure from the picture: Hand over the ticket.  If the jewelry appears wearable, acknowledge politely and ask if the shopper is satisfied with the condition.   ELSE IF: No picture was provided: Ask the shopper to send a photo of the damaged product so you can look into it further.  Once the picture is received, apply the same evaluation steps as above. 2. If the jewelry is confirmed damaged or unwearable after review:  Check whether the product is still in stock.  IF: In stock → Inform the shopper that a replacement will be reshipped and hand over the ticket.  IF: Out of stock → Apologize, explain that a refund will be issued, and hand over the ticket. Scenario 2 — When a shopper asks about earrings or jewelry clasps not closing IF: The shopper reports that a piece of jewelry (usually a stud) doesn’t clip or close properly THEN: Ask if they have tried the “relever la tige” trick shown in this video: → https://www.instagram.com/reel/CeEZU9VKWUM/?igshid=MDJmNzVkMjY%3D  IF: They have not tried yet, ask them to try it.  IF: They have already tried, ask them to gently try again and reassure them the item is under warranty.  IF: The problem persists, invite them to make a warranty claim here: → https://icvk1xljokz.typeform.com/to/ssHc7vn6  End flow. Scenario 3 — When a shopper is missing Mondial Relay pickup code IF: The shopper mentions they haven’t received their Mondial Relay “code de retrait”  THEN: Invite them to follow the retrieval procedure directly on the Mondial Relay website.  End flow.Scenario 4 — When a shopper is enquiring about receive wrong or missing products IF: The shopper received the wrong product or is missing items THEN: Ask the shopper to confirm: Which product(s) they are missing  Which product(s) they should not have received Once confirmed, hand over the ticket. Scenario 5 — When a shopper has an order delivered to wrong address or pickup pointCase A — The shopper provided a wrong shipping address  IF: The shopper indicates they entered the wrong address  THEN: Confirm the order’s shipping address:&amp;&amp;&amp;order.shipping_address.address1&amp;&amp;&amp;&amp;&amp;&amp;order.shipping_address.address2&amp;&amp;&amp;&amp;&amp;&amp;order.shipping_address.city&amp;&amp;&amp;&amp;&amp;&amp;order.shipping_address.country&amp;&amp;&amp;   Explain that because the order was shipped to the address provided at checkout, we cannot open a claim with the carrier as they will simply tell us that the order was shipped as instructed  Suggest the shopper contact the person currently living at that address if they can.  Apologize for the inconvenience, and tell the shopper to keep us posted and let us know if we can assist with anything else.  End flow. Case B — Delivered to the wrong pickup point (Mondial Relay) IF: The shopper says the package was delivered to the wrong pickup point  THEN: Confirm the delivery location using [&amp;&amp;&amp;order.fulfillment.tracking_url&amp;&amp;&amp;].  Check whether the parcel was redirected to another pickup point.  Inform the shopper: “Sometimes pickup points become unavailable due to capacity limits. Mondial Relay automatically reroutes the package to a nearby location. Unfortunately, once delivered, they don’t allow us to redirect it elsewhere.”  IF: The shopper cannot retrieve the package Explain that it will be returned to the merchant after the retention period.  Offer to refund or reship the order once it’s returned.  Ask which option they prefer.  Hand over the ticket. Scenario 6 — When a shopper said the package/order is marked as delivered but not received IF: The shopper says the package is marked as delivered but not received THEN: Acknowledge the situation empathetically.Ask the shoppper to send us a handwritten Sworn Statement confirming the situation, as well as a copy of their ID for our team to review and assist with the situation  Hand over the ticket. Scenario 7 — When a shopper is unable to edit their order IF: The shopper asks to edit or modify their order  THEN: Hand over the ticket. General rule: when sharing a link, please share the link embedded as a clickable hyperlink--&gt; Example: share this link ""https://www.instagram.com/reel/CeEZU9VKWUM/?igshid=MDJmNzVkMjY%3D"" as ""this video"" or this link ""https://icvk1xljokz.typeform.com/to/ssHc7vn6"" as ""warranty claim form""",true,4831,2025-12-11,Order,0.4962686567164179,Shipping,0.38619402985074625,2440188,6031952
madame-indecise,guidance,When a shopper has a malfunctioning product or asks about the warranty,en-US,302,0.5,0.5,151,scratch,"When a shopper has a malfunctioning product or asks about the warranty, then refer to this page. A) Malfunction product requests:In the event of a defective or manufacturing defect: it is possible to make a return or exchange request within 30 days of receiving the order, and we offer a 1-year warranty from the delivery date of the order for defective or malfunctioning products.We can offer an exchange for the same product or a credit.WHEN: The shopper reports a malfunctioning/defective product or asks about the warrantyScenario 1 — When a shopper has an earring stud clasp that doesn’t close / is twistedTHEN: Invite them to try the adjustment (“relever la tige”) shown in this video: → https://www.instagram.com/reel/CeEZU9VKWUM/?igshid=MDJmNzVkMjY%3D  If they already tried, ask them to gently try again and reassure them the item is under warranty.  If the problem persists, share the warranty claim form → https://icvk1xljokz.typeform.com/to/ssHc7vn6  End flow. Scenario 2 — When the purchase channel is in-store (brick &amp; mortar store)THEN: Acknowledge the request, and invite the shopper to contact or go back to the store where they bought the item with their invoice.  Hand over the ticket. Scenario 3 —  When the purchase channel is online and within 30 days of deliveryIf the order (delivery date) --&gt; [ORDER_DELIVERED_AT] or [fulfillment_event.occurred_at] is less than 30 days from today,THEN: The shopper is eligible for refund or warranty claim.  Share the warranty claim form: https://icvk1xljokz.typeform.com/to/ssHc7vn6  Add an internal note on the ticket: “Eligible for refund or warranty claim (≤ 30 days).”  Hand over the ticket. Scenario 4 —  If the purchase channel online and the order was delivered  ≥ than 31 days or ≤ than 364 daysTHEN: Inform the shopper that the item is covered under the 1-year warranty, so they are eligible .  Share the warranty claim form: → https://icvk1xljokz.typeform.com/to/ssHc7vn6  Explain that items can be exchanged up to twice within the 1-year warranty period.  IF: Shopper indicates this is a third exchange request THEN: Inform them that a refund will be issued instead of a new exchange.  Hand over the ticket.  Otherwise, hand over after providing the form. Scenario 5 — If the order was delivered ≥ 365 days (Warranty expired) THEN: Inform the shopper that unfortunately the 1-year warranty period has expired.  Explain that we can no longer offer a credit, exchange, or refund. Scenario 6 — If the shopped is enquiring about the ""fermoir"" or clasp saying they lost it or it doesn't work anymore THEN:  Inform the shopper that it is possible to purchase the clasp here  → https://nebuleusebijoux.com/products/fermoir-piercing-plat?_pos=1&amp;_psq=ferm&amp;_ss=e&amp;_v=1.0 B) Warranty details or claims requests:  IF: The shopper asks for warranty information or details  THEN: Share the warranty policy page: → https://nebuleusebijoux.com/pages/politique-de-garantie?srsltid=AfmBOop_uVJZ7mE5upc4vwKBGByD00vEvgdfNiDFlsg2d0MBpnnfw4kN  State that the warranty lasts 1 year from delivery and covers manufacturing defects or malfunctions.  IF: The shopper asks how to make a warranty claim  THEN:  Share the warranty form: → https://icvk1xljokz.typeform.com/to/ssHc7vn6  Tell them that the Nébuleuse team will get back to them shortly after having reviewed the claim  General rule: Warranty window = 365 days from [ORDER_DELIVERED_AT].  If purchase channel unclear → ask the shopper to confirm.General rule: When sharing a link, please share the link embedded as a clickable hyperlink--&gt; Example: share this link ""https://www.instagram.com/reel/CeEZU9VKWUM/?igshid=MDJmNzVkMjY%3D"" as ""this video""this link ""https://icvk1xljokz.typeform.com/to/ssHc7vn6"" as ""our warranty claim form"" this link ""https://nebuleusebijoux.com/products/fermoir-piercing-plat?_pos=1&amp;_psq=ferm&amp;_ss=e&amp;_v=1.0"" as ""here"" this link ""https://nebuleusebijoux.com/pages/politique-de-garantie?srsltid=AfmBOop_uVJZ7mE5upc4vwKBGByD00vEvgdfNiDFlsg2d0MBpnnfw4kN"" as ""the warranty policy form""",true,4043,2025-12-11,Warranty,0.3875432525951557,Product,0.3875432525951557,2529874,6300270
madame-indecise,guidance,(NEW) When a shopper ask where her order is or a WISMO question,en-US,120,0.5583333333333333,0.44166666666666665,53,scratch,"WHEN the shopper asks “Where is my order?”, requests an order status, or submits any WISMO-related inquiry: Step 1 — Try to identify the order using the shopper’s email, first and last name, or order number if provided. IF: No order is found using the shopper’s email, name, or order number THEN: Acknowledge the request.  Hand over the ticket.  IF: The shopper did not mention they tried checking the tracking page  THEN: Ask if they have tried tracking their order using [https://nebuleusebijoux.com/pages/suivi].  Inform them they can use this page to get real-time updates.Hand over the ticket Step 2  — Check the &amp;&amp;&amp;order.fulfillment.gorgias_status&amp;&amp;&amp;Scenario 1 — If the&amp;&amp;&amp;order.fulfillment.gorgias_status&amp;&amp;&amp; = “Partially Fulfilled” THEN: Acknowledge the request.  Hand over the ticket. Scenario 2 — If the &amp;&amp;&amp;order.fulfillment.gorgias_status&amp;&amp;&amp; = “Fulfilled” THEN:1. Retrieve the following fields: [&amp;&amp;&amp;order.fulfillment.created_datetime&amp;&amp;&amp;] → Pickup date  [&amp;&amp;&amp;order.fulfillment.tracking_url&amp;&amp;&amp;]→ Tracking URL/link  [ORDER_SHIPPING_METHOD]  → Delivery method 2. Calculate the number of calendar days between [&amp;&amp;&amp;order.fulfillment.created_datetime&amp;&amp;&amp;] and today. Sub Scenario 2.1 — If the package was picked up ≤ 5 days ago THEN: Confirm the order was picked up by the carrier Provide tracking link: [&amp;&amp;&amp;order.fulfillment.tracking_url&amp;&amp;&amp;].Confirm the current &amp;&amp;&amp;order.fulfillment.gorgias_status&amp;&amp;&amp; (in French) Sub Scenario 2.2 — If the package was picked up ≥ 6 days ago IF: [ORDER_SHIPPING_METHOD] = “Colissimo avec signature”, “Standard delivery”, or “Express delivery” THEN: Inform the shopper that the order may be delayed with the carrier.  Advise that if not delivered within 5 more days, they can reach back out and the team will open a request with the carrier.  Hand over the ticket.  IF: [ORDER_SHIPPING_METHOD] = “Lettre Suivie” or “Mondial Relay” THEN: Hand over the ticket.  IF: [ORDER_SHIPPING_METHOD] = “UPS”, “Colis Privé”, or “Courrier International”  THEN: Inform the shopper that an investigation needs to be opened with the carrier, and that the team our take care of it.  Explain that the carriers' investigations take approximately 10–15 business days.  Create an internal note on the ticket: “Open dispute with UPS”.  Hand over the ticket. Sub Scenario 2.3 — If the package has been Returned to SenderTHEN: 1.  Confirm the shipping address with the shopper [&amp;&amp;&amp;order.shipping_address.address1&amp;&amp;&amp;], [&amp;&amp;&amp;order.shipping_address.address2&amp;&amp;&amp;] [&amp;&amp;&amp;order.shipping_address.zip&amp;&amp;&amp;], [&amp;&amp;&amp;order.shipping_address.city&amp;&amp;&amp;]2.  If the order was shipped to a pickup point, confirm: [MONDIAL_RELAY_NAME]  [MONDIAL_RELAY_ADDRESS]  3. Offer to reship the order and confirm the new shipping address. 4.  IF: Shopper confirms reshipment → Hand over the ticket.5.   IF: Shopper requests refund → Hand over the ticket. Sub Scenario 2.4 — If the shipment was delivered but not received by the shopper THEN: Hand over the ticket. Sub Scenario 2.5 — If the tracking link is inactive or package not picked up yet THEN: Hand over the ticket. Sub Scenario 2.6 — If the order has been delivered and the shopper did not mention that they did not receive the package despite the package being delivered  THEN: Tell the shopper that it seems like the package was delivered, and ask them nicely to confirm that they have received the orderTHEN: Handover the ticket Scenario 3 — If the [&amp;&amp;&amp;order.fulfillment.gorgias_status&amp;&amp;&amp;] = “Unfulfilled”THEN: Check the [&amp;&amp;&amp;customer.customer_tags&amp;&amp;&amp;] field for the tag “Doublon nom”. IF: Tag exists → Compare [ORDER_SHIPPING_FIRST_NAME] or [order.customer.first_name] and [ORDER_SHIPPING_LAST_NAME] or [order.customer.last_name]  IF: First and last name are identical THEN: Notify the shopper that the order is on hold due to the duplicated name (e.g. John/John). Ask for confirmation of the correct first and last name. IF: Shopper provides updated name → Use action: $$$01K4K0VJE4YHFFYDY8K1D1SBNG$$$ to update name fields.  Confirm update completion to shopper.  Hand over the ticket.  ELSE: Hand over the ticket.  Scenario 4 — Default catch-all ELSE: THEN: Acknowledge the inquiry.  Hand over the ticket. General rule: when sharing a link, please share the link embedded as a clickable hyperlink--&gt; Example: share this link ""https://nebuleusebijoux.com/pages/suivi"" as ""tracking page""",true,4656,2025-12-12,Order,0.6551724137931034,Shipping,0.29310344827586204,3366432,8556849
madame-indecise,guidance,When shopper reports losing a piece of jewelry or a clasp,en-US,92,0.717391304347826,0.28260869565217395,26,scratch,"General rule:The warranty only applies to defective products, supported by a photo or video showing a manufacturing defect or fault.Unfortunately, the warranty does not cover lost items unless a defect (for example, a faulty clasp) can be clearly demonstrated.When shopper reports losing a piece of jewelry or a clasp, THEN:Scenario 1 — When a shopper does not/cannot provide a photo or videoTHEN: Acknowledge the situation warmly and express understanding for the inconvenience.  Inform the shopper: “I’m truly sorry for the inconvenience. The warranty applies only to defective products, supported by photos or videos. Unfortunately, it doesn’t cover lost jewelry.”  Thank them for their understanding and close the message kindly.  Scenario 2 — When a shopper has not yet sent a photo or video showing the defective product or fault before losing part of itTHEN: Ask the shopper to send a photo or short video showing the product’s condition before it was lost (if available).  Explain that this helps confirm whether a defect may have caused the issue: “Our warranty covers defective products, so a photo or video helps us verify whether a fault — for example, a clasp issue — caused the loss.”  Once a photo is received, proceed with Scenario 3. Scenario 3 — When a shopper provides a photo or video showing a defectTHEN: Acknowledge and thank the shopper for sharing the photo or video. Then: If the photo or video shows a defect — for example, a faulty clasp or structural issue — let the shopper know that their jewelry may be covered under the warranty.  Invite them to submit a warranty claim here: → https://icvk1xljokz.typeform.com/to/ssHc7vn6 General rule: when sharing a link, please share the link embedded as a clickable hyperlink--&gt; Example: share this link ""https://icvk1xljokz.typeform.com/to/ssHc7vn6"" as ""warranty claim form""",false,1849,2025-12-12,Warranty,0.42696629213483145,Product,0.4044943820224719,3534659,8988116
madame-indecise,guidance,When a shopper asks about exchanges,en-US,88,0.4318181818181818,0.5681818181818181,50,scratch,"WHEN: The shopper asks to exchange an order or an item from their order:THEN: If the order has already placed an order,THEN:  IF: The order was delivered more than 30 days ago THEN:  Inform the shopper that exchanges are only accepted within 30 days of receiving the order.  Add an internal note on the ticket: “Exchange period expired (over 30 days).”  Hand over the ticket. IF: The order was delivered 30 days ago or less THEN: Confirm that the shopper is eligible to request an exchange within 30 days of delivery.  Explain that jewelry can be exchanged for the same piece in GOLD or SILVER, and in any available size, as long as the price is the same.  Share (this link) for the shopper to submit their exchange request: → https://nebuleusebijoux.com/pages/retours-1?srsltid=AfmBOorlij3oeAAusn2h9jZHWQ5AWUiNRwTSmvLwVeBS4sjIh4qEcT9x  IF:  The shopper wants to make an exchange for an item of a different value, tell the shopper that a member of the team will assist them THEN:  handover the ticket ELSE:  THEN: Acknowledge the request.  Handover the ticket.    General rule:  When sharing a link, please share the link embedded as a clickable hyperlink--&gt; Example: share this link ""https://nebuleusebijoux.com/products/petite-ourse-boite-a-bijouxr"" as ""Petite Ourse jewelry case""",true,1285,2025-12-11,Exchange,0.6704545454545454,Order,0.18181818181818182,2949239,7323168
madame-indecise,snippet,What is your warranty policy?,en-US,72,0.4027777777777778,0.5972222222222222,43,,"We offer a 1-year warranty from the delivery date of your order in the event of a defective article or manufacturing defect. You can request an exchange for the same product or a credit. If a defect is noticed within 30 days from the delivery date, you may request a refund. Unfortunately, no credit or exchange is offered after 1 year from the purchase date. More details can be found [here](https://nebuleusebijoux.com/pages/faqs#category-template--20849153343836__faq-184d85b1-48ff-4dd8-a1a6-60831bd20d69).",false,509,2025-12-11,Product,0.4090909090909091,Warranty,0.36363636363636365,1903919,4440567
madame-indecise,guidance,"When a shopper asks about current promotions, discounts, or special offers (New)",en-US,66,0.5606060606060606,0.43939393939393945,29,scratch,"WHEN: The shopper asks about current promotions, discounts, promo codes or special offers⚠️ Current status (important)There are currently no active promotions.No promotions or promo codes are running at this time, and no new offers will be launched before January.🗂️ Internal context — Past promotions (for reference only)(Internal note for AI Agent — do not proactively list unless the shopper asks about them.)The following promotions have ended:Nov 9 – Dec 1, 2025Buy 1 jewelry item = 2nd at 50% off (applied to the cheapest item)Nov 9 – Nov 15, 20251 mystery jewelry piece offered for orders over €80Nov 16 – Nov 22, 2025Free shipping (tracked mailbox &amp; Mondial Relay in Europe)+100 loyalty points (no minimum purchase)Nov 23 – Nov 29, 2025Extra 10% off with code BLACKNov 30 – Dec 1, 20251 mystery composition offered for orders over €80 (gold or silver)💫 General rules about promotionsPromotions are automatically applied when all eligibility conditions are met.Discounts cannot be applied retroactively after an order is placed.Promo codes and offers cannot be combined, unless explicitly stated.If a promotion does not appear at checkout, it means the conditions were not met and no manual adjustment is possible.🔹 Scenario 1 — Shopper asks about current promotionsTHEN:Clearly inform the shopper that there are no active promotions at the moment.Reassure them gently that new offers will return later:“At the moment, there are no ongoing promotions, but we run promotions several times during the year.Invite them to staykeep an eye on our social media pages and subscribing to the newsletter to be informed when the next ones will be🔹 Scenario 2 — Shopper asks about benefitting from a past promotionTHEN:Confirm that the promotion they’re referring to has ended.Specify the valid dates of that promotion (only if relevant to their question).Explain kindly that once a promotion has ended, it can no longer be applied or honored.🔹 Scenario 3 — Shopper says a past promotion didn’t apply to their orderTHEN:1. Check the &amp;&amp;&amp;order.created_datetime&amp;&amp;&amp; date.2. IF: The order was placed outside the promotion periodExplain that unfortunately the offer was not active at that time.3. IF: The order was placed during the promotion periodExplain that promotions are applied automatically when all conditions are met.If they believe there was an error, ask for clarification or a screenshot.Hand over the ticket if order verification is required.🔹 Scenario 4 — Shopper asks how to redeem a promotion or promo codeTHEN:Explain that promotions apply automatically when active.Clarify that since there is no active promotion currently, there is nothing to redeem at the moment.Reassure them that future offers will be clearly communicated on social media, the newsletter and the website when available.🔹 Scenario 5 — Shopper asks about free shipping, loyalty points, or mystery giftsTHEN:Explain that these benefits were part of past limited-time offers and are no longer active.Confirm that such offers are always time-bound and clearly communicated when running.🔹 Scenario 6 — Shopper asks if promotions can be combinedTHEN:Explain that promotions generally cannot be combined, unless explicitly stated.Clarify that since there is no active promotion, this does not currently apply.🔹 Scenario 7 — Shopper says they did not receive a mystery giftTHEN:1. Check the &amp;&amp;&amp;order.created_datetime&amp;&amp;&amp; date.2. IF: The order was placed between Nov 9–15, 2025Explain kindly:“It appears the mystery jewelry piece was out of stock at the time you placed your order, which is why it couldn’t be added.”Apologize for the inconvenience.3. IF: The order was placed outside the promotion periodExplain that the mystery gift was only available during that limited timeframe.⚙️ Notes (internal reference)Do not suggest or imply upcoming discounts before January.Never promise exceptions, retroactive discounts, or manual promo application.Ask for screenshots or order numbers only if a genuine discrepancy is suspected.Maintain a calm, transparent, and reassuring tone at all times",true,4111,2026-01-05,Promotion & Discount,0.631578947368421,Order,0.17543859649122806,3939416,10159872
madame-indecise,guidance,When the shopper reaches out to confirm if their order or payment went through,en-US,54,0.6111111111111112,0.38888888888888884,21,scratch,"WHEN: The shopper reaches out to confirm if their order or payment went through IF: The shopper didn't provide order details or sufficient order details (e.g., email, payment amount, order date)  THEN:  Search for the order using the provided details (e.g., [CUSTOMER_EMAIL], [ORDER_DATE], or [ORDER_TOTAL_PRICE]).  Check if an order exists under the customer’s details.   IF you can locate the order: Confirm that the order was successfully placed. Provide the order number, &amp;&amp;&amp;order.fulfillment.gorgias_status&amp;&amp;&amp;, and confirmation that payment was received.  IF you can't locate the order: Hand over the ticket.  IF: The shopper does not provide enough details to locate the order  THEN:  Ask the shopper to confirm the following details (if not already provided):  The date the order was placed. The amount paid. The email address used to place the order.  Once the shopper provides this information, attempt to locate the order again using those details.   IF the order is still not found:  Hand over the ticket.  ELSE:  THEN: Acknowledge the shopper’s concern. Hand over the ticket. General Rule:Do not ask for the order number as the shopper most likely does not have it.  ",true,1203,2025-12-12,Order,0.8148148148148148,Exchange,0.07407407407407407,3350546,8515638
madame-indecise,guidance,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,en-US,47,0.2127659574468085,0.7872340425531915,37,scratch,"When a shopper asks about using/spending loyalty points - you may refer to the Programme de Fidélité page of the website, especially the FAQ section.If a shopper asks about using/spending loyalty points: Scenario 1: The shopper asks about using the points in the online storeTHEN: Let tIf they have enough points, they can use the scroll bar menu located (menu déroulant) directly above their cart total at checkout or in their account. They can redeem their points either for a discount or for a product of their choice from a special selection They can select the amount they wish to apply or the product, then click the ""APPLY"" button.They can find all the information about the loyalty program through this link. (send the hyperlink).If needed, remind them that: 100 points-  €10 discount (minimum €50 purchase)  120 points- ""Earcuff Vega""  150 points- €15 discount (minimum €75 purchase)- ""Luna Blanche""- ""Earcuff Elena Blanche""   200 points- €20 discount (minimum €100 purchase)- ""Créole Naja Blanche""  250 points- ""Bague Naja Blanche""- ""Bague Naja Émeraude""  300 points- ""Bague Cassiopée""  350 points- ""Bracelet Cheville Cassiopée""  400 points- ""Bougie 3 bijoux""Sub Scenario 1A: If the shopper answers saying that she does not have access/see the scroll bar menu (menu déroulant) or that it is not working for some reason: Then ask them to make sure you that they do not use ShopPay for payment and that to use a computer to place the order.Scenario 2: The shopper asks about using the points in a physical/retail store.Sub Scenario 2A: If the shopper asks about a Nébuleuse storeThen: They can use their loyalty points in our store.They'll need to provide the email address associated with their Nébuleuse account to their sales associate at checkoutSub Scenario 2B: If the shopper is asking about a reselling partner storeThen: Their Nébuleuse Bijoux loyalty points are not valid in partner stores.Shoppes also do not earn points when making purchases in partner stores.Loyalty points can only be earned and uses when shopping directly with Nébuleuse Bijoux.Sub Scenario 3: If the shopper cannot use their points/has issues using their pointsSub Scenario 3A: If the shopper does not see the scroll bar menu (menu déroulant)Then: Ask them to make sure that they are not using ShopPay to pay, and that you're using their computer to place the order.And tell them to please send you a screenshot of the issue if the problem persists.Sub Scenario 3B: If the shopper has shared a screenshot of the issue Then: Thank them for sharing the screenshot, tell them that you are escalating this for the team to review as soon as possible and handover the ticketSub Scenario 3C: If the shopper reports that the loyalty discount is not being applied to their cart:Then: 1) If the shopper provided a screenshot of the cart:  1) a) If you cannot properly read the screenshot, tell them that you are escalating this for the team to review as soon as possible and handover the ticket1) b) If you can properly read the screenshot, verify that the minimum cart amount (excluding shipping costs) has been reached to redeem the discount. Please refer to the conditions below:- 100 points = €10 discount code ➡️ for purchases of €50 or more- 150 points = €15 discount code ➡️ for purchases of €75 or more- 200 points = €20 discount code ➡️ for purchases of €100 or moreThen: 1) b) 1) If the minimum cart amount has not been reached: Then, tell the shopper: I see that your cart does not meet the minimum purchase requirement to qualify for the discount you selected.As a reminder, here are the requirements for each reward:- 100 points = €10 discount code ➡️ for purchases of €50 or more- 150 points = €15 discount code ➡️ for purchases of €75 or more- 200 points = €20 discount code ➡️ for purchases of €100 or moreYou have two options:1. You can keep your current order and use your discount on your next order, as the promotional code is valid for 30 days.2. Or if you wish, I can cancel the discount and we can re-credit you with the points.1) b) 2) If the minimum cart amount has been reached: Tell the shopper that you are escalating this for the team to review as soon as possible and handover the ticket2) If the shopper did not provide a screenshot, Then: Ask the shopper to ensure that their cart reaches the minimum amount required to use the promotional code they selected.Here are the requirements for each reward:- 100 points = €10 discount code ➡️ for purchases of €50 or more- 150 points = €15 discount code ➡️ for purchases of €75 or more- 200 points = €20 discount code ➡️ for purchases of €100 or moreIf the problem persists and they meet the above conditions, ask them to send a screenshot of the issue.Then:If you receive the screenshot, thank the shopper and tell them that you are escalating this for the team to review as soon as possible and handover the ticket.",true,4873,2025-12-11,Promotion & Discount,0.5365853658536586,Account,0.2926829268292683,2392032,5898606
madame-indecise,guidance,When a shopper asks about shipping costs/delivery times,en-US,44,0.8636363636363636,0.13636363636363635,6,scratch,"When a shopper asks a shipping/delivery related question before placing an order or the ticket has the shipping/policy intent, there are several scenarios: Scenario 1 — When a shopper asks about shipping or delivery times IF: Shipping to France (mainland) or France Overseas (DOM-TOM / Outre-mer) THEN: We offer three delivery types:  Standard mailbox delivery with tracking: 2 – 5 business days  Signature-required home delivery: 48 – 72 business hours  Pickup-point delivery: 3 – 5 business days   IF: Shipping to Belgium or Luxembourg  THEN: Two delivery options are available:  Standard mailbox delivery with tracking: 4 – 7 business days  Pickup-point delivery: 3 – 5 business days    IF: Shipping to other European / International countries (except USA &amp; Canada)  THEN: Delivery time: 4 – 7 business days from shipment (orders usually ship within 24 h of validation).  End flow.  IF: Shipping to the United States (USA) THEN: Express delivery to the USA usually takes 48 – 72 hours.  End flow.  IF: Shipping to Canada THEN: Inform the shopper unfortunately, shipments to Canada are suspensed until forther notice. Canada recently lowered its maximum daily import threshold to CAD 20, which now results in customs fees for all our Canadian customers. Pending further clarification, we have decided to temporarily suspend our shipments to Canada to avoid any unpleasant surprises for our beloved customers.  Apologize for the inconvenience.  End flow. Scenario 2 — When a shopper asks about shipping fees or prices IF: Shipping to France (mainland) or France Overseas (DOM-TOM / Outre-mer) THEN: Let the shopper know we  offer three delivery options:  Standard mailbox delivery (tracked) — price depends on order total: &lt; €20 → €2.99  €20 – €29.99 → €3.29  €30 – €39.99 → €4.99  €40 – €59.99 → €5.99  Free for orders ≥ €60  Signature-required home delivery: €6.90  Pickup-point delivery: €5.50   IF: Shipping to other European / International countries (except USA &amp; Canada)  THEN: Let the shopper know that shipping costs: €5.50, and they are free for orders over €60.  Customs fees, if any, are the customer’s responsibility.  End flow.  IF: Shipping to the United States (USA)  THEN: Shipping fee: $9.50, free for orders over $100.  Customs fees are not covered by Nébuleuse.  End flow.   IF: Shipping to Canada THEN: Inform that shipments to Canada are temporarily suspended for the same reasons as above (import threshold lowered to CAD 20).  End flow.  Scenario 3 — Shopper asks where Nébuleuse ships to THEN: Inform the shopper that Nébuleuse currently ships to the following destinations: France  Belgium  Luxembourg  Guadeloupe, Mayotte, Martinique, Réunion, St Barthélemy, St Martin, St Pierre &amp; Miquelon  Most European countries, including: Åland Islands, Albania, Andorra, Armenia, Austria, Belarus, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, Georgia, Germany, Gibraltar, Greece, Greenland, Guernsey, Vatican City, Hungary, Iceland, Ireland, Isle of Man, Italy, Jersey, Kosovo, Latvia, Liechtenstein, Lithuania.   IF: The shopper asks about one of the above countries → confirm that shipping is available and offer further help.  IF: The shopper asks about a country not listed Apologize and explain that Nébuleuse does not yet ship there.  Mention that the feedback will be shared with the team for future expansion.  Add an internal note on the ticket: “Shopper asked about shipping to an unsupported country.” General rule: Delivery times may be extended during promotional offers, holiday periods or exceptional events.  ",false,3618,2025-12-11,Order,0.75,Shipping,0.25,2380521,5868648
