ticket_intent,ticket_intent_detail,knowledge_type,knowledge_id,knowledge_title,nb_tickets_used_in_28d
Order:Status,General Order Status Inquiries,guidance,6031952,When a shopper reaches out about order issues or shipping issues,78
Order:Status,General Order Status Inquiries,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,30
Order:Status,General Order Status Inquiries,guidance,5868648,When a shopper asks about shipping costs/delivery times,19
Order:Status,General Order Status Inquiries,external_snippet,4440596,How soon will my order be shipped?,13
Order:Status,General Order Status Inquiries,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,11
Order:Status,General Order Status Inquiries,external_snippet,4440727,Where can I find information about my order status?,8
Order:Status,General Order Status Inquiries,external_snippet,4440648,How long does it take to receive my order?,6
Order:Status,General Order Status Inquiries,external_snippet,4440535,How long does it take to receive my order?,5
Order:Status,General Order Status Inquiries,external_snippet,4440711,How do I follow my order?,5
Order:Status,General Order Status Inquiries,external_snippet,4440608,Where can I find information on tracking my order?,3
Order:Status,General Order Status Inquiries,external_snippet,10387001,How can I track my package?,3
Order:Status,General Order Status Inquiries,external_snippet,10386901,What is the return and refund policy?,2
Order:Status,General Order Status Inquiries,external_snippet,4440579,How can I follow my order or return it?,2
Order:Status,General Order Status Inquiries,guidance,6130658,If a shopper asks about returns,2
Order:Status,General Order Status Inquiries,external_snippet,10386907,What should I do if I haven't received my package?,1
Order:Status,General Order Status Inquiries,external_snippet,4440805,How can I follow my order from Nebulae?,1
Order:Status,General Order Status Inquiries,external_snippet,4440537,Where does my order ship from?,1
Order:Status,General Order Status Inquiries,guidance,7321695,When a shopper asks when a product will be back in stock,1
Order:Status,General Order Status Inquiries,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Status,General Order Status Inquiries,guidance,6124682,When a shopper asks about the gift card,1
Order:Wrong Item,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,10
Order:Status,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,5
Exchange:Request,Other,guidance,7323168,When a shopper asks about exchanges,4
Order:Wrong Item,Other,guidance,7323168,When a shopper asks about exchanges,4
Order:Missing Item,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,3
Promotion & Discount:Issue,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",3
Account:Other,Other,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,3
Warranty:Claim,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,3
Product:Customization,Other,guidance,6124682,When a shopper asks about the gift card,2
Order:Wrong Item,Other,external_snippet,10386939,What is the return policy for Nébuleuse jewelry?,2
Warranty:Information,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,2
Account:Other,Other,guidance,5950621,Affiliation/ambassador program (PART 2) - Commissions & Technical Support,2
Order:Status,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,2
Shipping:Other,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,2
Account:Deletion,Other,guidance,7253294,"When a shopper asks to create, edit, suppress or merge accounts",2
Account:Other,Other,guidance,5898604,When a shopper asks about the Loyalty Program (PART 1),2
Warranty:Claim,Other,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,2
Marketing:Collaboration,Other,external_snippet,10386951,What is the 'Ambassador Program'?,2
Shipping:Information,Other,external_snippet,10386919,What is the shipping policy for Nébuleuse Bijoux?,1
Marketing:Collaboration,Other,external_snippet,4440561,How to join the ambassador program?,1
Return:Other,Other,guidance,6130658,If a shopper asks about returns,1
Warranty:Information,Other,external_snippet,4440567,What is your warranty policy?,1
Shipping:Information,Other,guidance,5868648,When a shopper asks about shipping costs/delivery times,1
Other:Other,Other,external_snippet,10387003,What is the policy regarding piercing services?,1
Exchange:Request,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Shipping:Delivered Not Received,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Order:Placement,Other,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Other:Other,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Other:Other,Other,guidance,5951753,When a shopper asks about stores and physical points of sale,1
Promotion & Discount:Issue,Other,external_snippet,10386991,What happens to my loyalty points if I return an order?,1
Account:Other,Other,guidance,5950617,"Affiliation/Ambassador program (PART 1) - Joining, Benefits & Referral Links",1
Order:Status,Other,external_snippet,4440608,Where can I find information on tracking my order?,1
Product:Details,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Wrong Item,Other,guidance,6130658,If a shopper asks about returns,1
Shipping:Delivered Not Received,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Product:Customization,Other,external_snippet,10386917,What are the standard bar lengths for piercings?,1
Order:Wrong Item,Other,external_snippet,10386901,What is the return and refund policy?,1
Order:Damaged,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Feedback:Other,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Marketing:Collaboration,Other,guidance,5950617,"Affiliation/Ambassador program (PART 1) - Joining, Benefits & Referral Links",1
Order:Payment,Other,guidance,8515638,When the shopper reaches out to confirm if their order or payment went through,1
Promotion & Discount:Issue,Other,guidance,6124682,When a shopper asks about the gift card,1
Warranty:Claim,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Shipping:Change Address,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Order:Payment,Other,guidance,6124682,When a shopper asks about the gift card,1
Order:Wrong Item,Other,guidance,7321695,When a shopper asks when a product will be back in stock,1
Feedback:Positive,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Product:Usage,Other,guidance,6124682,When a shopper asks about the gift card,1
Promotion & Discount:Issue,Other,guidance,5898606,When a shopper asks about using/spending Loyalty Points online or in-store or if they have issues using the points,1
Product:Availability,Other,guidance,7321695,When a shopper asks when a product will be back in stock,1
Account:Other,Other,external_snippet,10386949,What is the 'Cosmic Club' loyalty program?,1
Feedback:Other,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Order:Other,Other,guidance,10159872,"When a shopper asks about current promotions, discounts, or special offers (New)",1
Other:Other,Other,external_snippet,4440774,Are there any piercings considered impossible to perform?,1
Subscription:Information,Other,guidance,5898604,When a shopper asks about the Loyalty Program (PART 1),1
Subscription:Information,Other,guidance,5946922,When a shopper asks about the Loyalty Program (PART 2),1
Shipping:Information,Other,external_snippet,4440537,Where does my order ship from?,1
Exchange:Request,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Account:Other,Other,guidance,6124682,When a shopper asks about the gift card,1
Shipping:Delay,Other,guidance,6031952,When a shopper reaches out about order issues or shipping issues,1
Exchange:Other,Other,guidance,7323168,When a shopper asks about exchanges,1
Marketing:Collaboration,Other,guidance,5950621,Affiliation/ambassador program (PART 2) - Commissions & Technical Support,1
Order:Edit,Other,guidance,7323168,When a shopper asks about exchanges,1
Order:Other,Other,guidance,5868648,When a shopper asks about shipping costs/delivery times,1
Order:Damaged,Other,guidance,6300270,When a shopper has a malfunctioning product or asks about the warranty,1
Order:Wrong Item,Other,external_snippet,10386909,Can I exchange an item?,1
Account:Other,Other,external_snippet,10386951,What is the 'Ambassador Program'?,1
Other:Other,Other,external_snippet,4440772,Can you get multiple piercings done in one session?,1
Other:Other,Other,external_snippet,10386961,How many piercings can I get at once?,1
Order:Edit,Other,guidance,8556849,(NEW) When a shopper ask where her order is or a WISMO question,1
Exchange:Request,Other,external_snippet,10386901,What is the return and refund policy?,1
Other:Other,Other,guidance,8988116,When shopper reports losing a piece of jewelry or a clasp,1
Warranty:Claim,Other,guidance,7321695,When a shopper asks when a product will be back in stock,1
